時間軸コード,西暦（暦年）,和暦（暦年）,地域コード,地域,項目,数値,単位
1996000000,1996年,平成8年,26000,京都府,工芸農作物,4740 ,百万円
1996000000,1996年,平成8年,26000,京都府,種苗･苗木その他,1686 ,百万円
1996000000,1996年,平成8年,26000,京都府,養蚕,16 ,百万円
1996000000,1996年,平成8年,26000,京都府,畜産計,11290 ,百万円
1996000000,1996年,平成8年,26000,京都府,肉用牛,1328 ,百万円
1996000000,1996年,平成8年,26000,京都府,乳用牛,4138 ,百万円
1996000000,1996年,平成8年,26000,京都府,豚,1118 ,百万円
1996000000,1996年,平成8年,26000,京都府,鶏,4597 ,百万円
1996000000,1996年,平成8年,26000,京都府,その他畜産物,109 ,百万円
1996000000,1996年,平成8年,26000,京都府,加工農産物,3510 ,百万円
1996000000,1996年,平成8年,26000,京都府,生産農業所得,35649 ,百万円
1997000000,1997年,平成9年,26000,京都府,農業粗生産額,7866 ,千万円
1997000000,1997年,平成9年,26000,京都府,耕種計,6374 ,千万円
1997000000,1997年,平成9年,26000,京都府,米,2679 ,千万円
1997000000,1997年,平成9年,26000,京都府,麦類,5 ,千万円
1997000000,1997年,平成9年,26000,京都府,雑穀・豆類,113 ,千万円
1997000000,1997年,平成9年,26000,京都府,いも類,103 ,千万円
1997000000,1997年,平成9年,26000,京都府,野菜,2475 ,千万円
1997000000,1997年,平成9年,26000,京都府,果実,174 ,千万円
1997000000,1997年,平成9年,26000,京都府,花き,218 ,千万円
1997000000,1997年,平成9年,26000,京都府,工芸農作物,475 ,千万円
1997000000,1997年,平成9年,26000,京都府,種苗･苗木その他,132 ,千万円
1997000000,1997年,平成9年,26000,京都府,養蚕,2 ,千万円
1997000000,1997年,平成9年,26000,京都府,畜産計,1142 ,千万円
1997000000,1997年,平成9年,26000,京都府,肉用牛,147 ,千万円
1997000000,1997年,平成9年,26000,京都府,乳用牛,410 ,千万円
1997000000,1997年,平成9年,26000,京都府,豚,100 ,千万円
1997000000,1997年,平成9年,26000,京都府,鶏,473 ,千万円
1997000000,1997年,平成9年,26000,京都府,その他畜産物,12 ,千万円
1997000000,1997年,平成9年,26000,京都府,加工農産物,350 ,千万円
1997000000,1997年,平成9年,26000,京都府,生産農業所得,3503 ,千万円
1998000000,1998年,平成10年,26000,京都府,農業粗生産額,7650 ,千万円
1998000000,1998年,平成10年,26000,京都府,耕種計,6191 ,千万円
1998000000,1998年,平成10年,26000,京都府,米,2374 ,千万円
1998000000,1998年,平成10年,26000,京都府,麦類,7 ,千万円
1998000000,1998年,平成10年,26000,京都府,雑穀・豆類,90 ,千万円
1998000000,1998年,平成10年,26000,京都府,いも類,102 ,千万円
1998000000,1998年,平成10年,26000,京都府,野菜,2628 ,千万円
1998000000,1998年,平成10年,26000,京都府,果実,202 ,千万円
1998000000,1998年,平成10年,26000,京都府,花き,219 ,千万円
1998000000,1998年,平成10年,26000,京都府,工芸農作物,439 ,千万円
1998000000,1998年,平成10年,26000,京都府,種苗･苗木その他,130 ,千万円
1998000000,1998年,平成10年,26000,京都府,養蚕,1 ,千万円
1998000000,1998年,平成10年,26000,京都府,畜産計,1121 ,千万円
1998000000,1998年,平成10年,26000,京都府,肉用牛,147 ,千万円
1998000000,1998年,平成10年,26000,京都府,乳用牛,422 ,千万円
1998000000,1998年,平成10年,26000,京都府,豚,99 ,千万円
1998000000,1998年,平成10年,26000,京都府,鶏,442 ,千万円
1998000000,1998年,平成10年,26000,京都府,その他畜産物,10 ,千万円
1998000000,1998年,平成10年,26000,京都府,加工農産物,337 ,千万円
1998000000,1998年,平成10年,26000,京都府,生産農業所得,3261 ,千万円
1999000000,1999年,平成11年,26000,京都府,農業粗生産額,7679 ,千万円
1999000000,1999年,平成11年,26000,京都府,耕種計,6169 ,千万円
1999000000,1999年,平成11年,26000,京都府,米,2422 ,千万円
1999000000,1999年,平成11年,26000,京都府,麦類,8 ,千万円
1999000000,1999年,平成11年,26000,京都府,雑穀・豆類,106 ,千万円
1999000000,1999年,平成11年,26000,京都府,いも類,96 ,千万円
1999000000,1999年,平成11年,26000,京都府,野菜,2521 ,千万円
1999000000,1999年,平成11年,26000,京都府,果実,204 ,千万円
1999000000,1999年,平成11年,26000,京都府,花き,213 ,千万円
1999000000,1999年,平成11年,26000,京都府,工芸農作物,471 ,千万円
1999000000,1999年,平成11年,26000,京都府,種苗･苗木その他,130 ,千万円
1999000000,1999年,平成11年,26000,京都府,養蚕,1 ,千万円
1999000000,1999年,平成11年,26000,京都府,畜産計,1151 ,千万円
1999000000,1999年,平成11年,26000,京都府,肉用牛,158 ,千万円
1999000000,1999年,平成11年,26000,京都府,乳用牛,405 ,千万円
1999000000,1999年,平成11年,26000,京都府,豚,105 ,千万円
1999000000,1999年,平成11年,26000,京都府,鶏,468 ,千万円
1999000000,1999年,平成11年,26000,京都府,その他畜産物,16 ,千万円
1999000000,1999年,平成11年,26000,京都府,加工農産物,358 ,千万円
1999000000,1999年,平成11年,26000,京都府,生産農業所得,3391 ,千万円
2000000000,2000年,平成12年,26000,京都府,農業粗生産額,7406 ,千万円
2000000000,2000年,平成12年,26000,京都府,耕種計,5892 ,千万円
2000000000,2000年,平成12年,26000,京都府,米,2344 ,千万円
2000000000,2000年,平成12年,26000,京都府,麦類,9 ,千万円
2000000000,2000年,平成12年,26000,京都府,雑穀・豆類,125 ,千万円
2000000000,2000年,平成12年,26000,京都府,いも類,95 ,千万円
2000000000,2000年,平成12年,26000,京都府,野菜,2381 ,千万円
2000000000,2000年,平成12年,26000,京都府,果実,194 ,千万円
2000000000,2000年,平成12年,26000,京都府,花き,174 ,千万円
2000000000,2000年,平成12年,26000,京都府,工芸農作物,457 ,千万円
2000000000,2000年,平成12年,26000,京都府,種苗･苗木その他,114 ,千万円
2000000000,2000年,平成12年,26000,京都府,養蚕,0 ,千万円
2000000000,2000年,平成12年,26000,京都府,畜産計,1164 ,千万円
2000000000,2000年,平成12年,26000,京都府,肉用牛,146 ,千万円
2000000000,2000年,平成12年,26000,京都府,乳用牛,410 ,千万円
2000000000,2000年,平成12年,26000,京都府,豚,108 ,千万円
2000000000,2000年,平成12年,26000,京都府,鶏,484 ,千万円
2000000000,2000年,平成12年,26000,京都府,その他畜産物,15 ,千万円
2000000000,2000年,平成12年,26000,京都府,加工農産物,350 ,千万円
2000000000,2000年,平成12年,26000,京都府,生産農業所得,3265 ,千万円
2001000000,2001年,平成13年,26000,京都府,農業産出額,735 ,億円
2001000000,2001年,平成13年,26000,京都府,耕種計,589 ,億円
2001000000,2001年,平成13年,26000,京都府,米,228 ,億円
2001000000,2001年,平成13年,26000,京都府,麦類,1 ,億円
2001000000,2001年,平成13年,26000,京都府,雑穀・豆類,10 ,億円
2001000000,2001年,平成13年,26000,京都府,いも類,10 ,億円
2001000000,2001年,平成13年,26000,京都府,野菜,252 ,億円
2001000000,2001年,平成13年,26000,京都府,果実,19 ,億円
